name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Jinxi,Jinxi,China,CHN,4,50,1,Populated place,2426000,313247,120.8280325,40.7522867,4178.16711805556,600.662684722222,4178,601,1678.16711805556,-399.337315277778,1678,-399,china,1.37,8.5,9,8,4.94,8.6
Shijiazhuang,Shijiazhuang,China,CHN,4,50,1,Admin-1 capital,2417000,1992474,114.4780325,38.0519605,4089.97267361111,638.167215277778,4090,638,1589.97267361111,-361.832784722222,1590,-362,china,1.37,8.5,9,8,4.94,8.6
Jilin,Jilin,China,CHN,4,50,1,Populated place,2396000,1881977,126.5480968,43.8519166,4257.61245555556,557.612269444445,4258,558,1757.61245555556,-442.387730555556,1758,-442,china,1.36,8.5,9,8,4.93,8.6
Nanchang,Nanchang,China,CHN,2,200,1,Admin-1 capital,2350000,1871351,115.8780504,28.6819381,4109.41736666667,768.306415277778,4109,768,1609.41736666667,-231.693584722222,1609,-232,china,1.35,8.5,9,8,4.92,8.6
Wenzhou,Wenzhou,China,CHN,4,50,1,Populated place,2350000,865672,120.6481469,28.0219268,4175.66870694445,777.473238888889,4176,777,1675.66870694445,-222.526761111111,1676,-223,china,1.35,8.5,9,8,4.92,8.6
Nanchong,Nanchong,China,CHN,4,50,1,Populated place,2174000,2174000,106.1280513,30.7823784,3974.0007125,739.133633333333,3974,739,1474.0007125,-260.866366666667,1474,-261,china,1.3,8.5,9,8,4.9,8.6
Nanning,Nanning,China,CHN,2,200,1,Admin-1 capital,2167000,803788,108.3180985,22.8219341,4004.41803472222,849.695359722222,4004,850,1504.41803472222,-150.304640277778,1504,-150,china,1.3,8.5,9,8,4.9,8.6
Zaozhuang,Zaozhuang,China,CHN,4,50,1,Populated place,2145000,183665,117.5680765,34.8819473,4132.88995138889,682.195176388889,4133,682,1632.88995138889,-317.804823611111,1633,-318,china,1.3,8.5,9,8,4.9,8.6
Yantai,Yantai,China,CHN,4,50,1,Populated place,2116000,719332,121.3980753,37.532354,4186.08437916667,645.383972222222,4186,645,1686.08437916667,-354.616027777778,1686,-355,china,1.29,8.5,9,8,4.89,8.6
Xuzhou,Xuzhou,China,CHN,4,50,1,Populated place,2091000,1199193,117.1780744,34.2819581,4127.47325555556,690.528359722222,4127,691,1627.47325555556,-309.471640277778,1627,-309,china,1.28,8.5,9,8,4.89,8.6
Linyi,Linyi,China,CHN,4,50,1,Populated place,2082000,270669,118.3280301,35.0819351,4143.4448625,679.417568055556,4143,679,1643.4448625,-320.582431944444,1643,-321,china,1.28,8.5,9,8,4.89,8.6
Haikou,Haikou,China,CHN,6,30,1,Admin-1 capital,2046189,1167428,110.3200256,20.0500023,4032.22257777778,888.1944125,4032,888,1532.22257777778,-111.8055875,1532,-112,china,1.27,8.5,9,8,4.88,8.6
Baotou,Baotou,China,CHN,2,200,1,Populated place,2036000,423329,109.820074,40.6541531,4025.27880555556,602.025651388889,4025,602,1525.27880555556,-397.974348611111,1525,-398,china,1.27,8.5,9,8,4.88,8.6
Hefei,Hefei,China,CHN,4,50,1,Admin-1 capital,2035000,1388904,117.2780683,31.8519772,4128.86205972222,724.278094444445,4129,724,1628.86205972222,-275.721905555556,1629,-276,china,1.27,8.5,9,8,4.88,8.6
Suzhou,Suzhou,China,CHN,4,50,1,Populated place,1964000,1964000,116.976943,33.638057,4124.67976388889,699.471430555556,4125,699,1624.67976388889,-300.528569444445,1625,-301,china,1.25,8.5,9,8,4.88,8.6
Nanyang,Nanyang,China,CHN,4,50,1,Populated place,1944000,251532,112.528074,33.0023463,4062.88991666667,708.300745833333,4063,708,1562.88991666667,-291.699254166667,1563,-292,china,1.25,8.5,9,8,4.88,8.6
Ningbo,Ningbo,China,CHN,4,50,1,Populated place,1923000,719867,121.5480919,29.8819166,4188.16794305556,751.640047222222,4188,752,1688.16794305556,-248.359952777778,1688,-248,china,1.24,8.5,9,8,4.87,8.6
Tangshan,Tangshan,China,CHN,6,30,1,Populated place,1879000,1596949,118.1924311,39.626283,4141.56154305556,616.301625,4142,616,1641.56154305556,-383.698375,1642,-384,china,1.23,8.5,9,8,4.87,8.6
Datong,Datong,China,CHN,6,30,1,Populated place,1873000,1052678,113.2980529,40.0819658,4073.58406805556,609.972697222222,4074,610,1573.58406805556,-390.027302777778,1574,-390,china,1.23,8.5,9,8,4.87,8.6
